IDs,title,fol_or_p
CH-Bu_F.X.1_D_n019,Ich stond an einem morgen (Ich stand an einem Morgen),14r-14v
CH-Bu_F.X.1_D_n020,Ich stond an einem morgen (Ich stand an einem Morgen),14v
CH-Bu_F.X.1_D_n021,Ich stond an einem morgen (Ich stand an einem Morgen),15r-15v
CH-Bu_F.X.1_D_n022,Ach elslin ach elslin wilt mit mir In die eret (Ach Elslein ach Elslein willst Du mit mir),15v-16r
CH-Bu_F.X.1_D_n023,Elslin liebes Elslein (Elslein),16r
CH-Bu_F.X.1_D_n024,Elsle liebes elselin (Elslein),16v
CH-Bu_F.X.1_D_n025,Lust mag myn hertz (Lust mag mein Herz),17r
CH-Bu_F.X.1_D_n026,Vnfal wann ist dyns wesen gnúg (Unfall wann ist deines Wesens genug),17v
CH-Bu_F.X.1_D_n027,Erst ist betriegt das hertze myn (Erst ist betrübt [?] das Herze mein*),18r
CH-Bu_F.X.1_D_n028,Großmechtig (Großmächtig),18v
CH-Bu_F.X.1_D_n029,Ein gmeiner prúch (Ein gemeiner Brauch(?)*),19r
CH-Bu_F.X.1_D_n030,Ach werde frúcht (Ach werte Frucht),19v
CH-Bu_F.X.1_D_n031,Meniger stelt nach gelt (Mancher stellt nach Geld),20r
CH-Bu_F.X.1_D_n032,Als ab vnd hin (Alles ab und hin),20v
CH-Bu_F.X.1_D_n033,Dich als mich selbs (Dich als mich selbst),21r
CH-Bu_F.X.1_D_n034,Auff glúck ich wart (Auf Glück ich warte),21v
CH-Bu_F.X.1_D_n035,Ich hoff der zit (Ich hoffe der Zeit),22r
CH-Bu_F.X.1_D_n036,Elslin (Elslein),22v
CH-Bu_F.X.1_D_n037,Hertzliches pild (Herzliches Bild),22v-23r
CH-Bu_F.X.1_D_n038,Endlin (**Ich hätte mir ein Endlein [Annelein?] für genommen),23v
CH-Bu_F.X.1_D_n039,Zart liepste frucht (Zart liebste Frucht),23v-24r
CH-Bu_F.X.1_D_n040,Kein ding auf erd (Kein Ding auf Erden),24v
CH-Bu_F.X.1_D_n041,Wol kúmpt der May (Wohl kommt der Mai),25r
CH-Bu_F.X.1_D_n042,Vil sorg ich trag (Viel Sorge ich trage),25v
CH-Bu_F.X.1_D_n043,Het ich in aller welt die wal (Hätte ich in aller Welt die Wahl),26r
CH-Bu_F.X.1_D_n044,Schwerlangweilig ist mir myn zyt (Schwer langweilig ist mir meine Zeit),26v
CH-Bu_F.X.1_D_n045,Elslin liepstes elselin myn wie geren wer ich py dir (Elslein),27r
CH-Bu_F.X.1_D_n046,Enzindt pin ich (Entzündet bin ich),27v
CH-Bu_F.X.1_D_n047,Crist ist erstanden (Christ ist erstanden),28r
CH-Bu_F.X.1_D_n048,Min glúck get vf der sitten uß (Mein Glück geht auf die Seite aus),28v
CH-Bu_F.X.1_D_n049,Elslin (Elslein),29r
CH-Bu_F.X.1_D_n050,O werder mund (O werter Mund),29r-30r
CH-Bu_F.X.1_D_n051,In mynem sinn (In meinem Sinn),30r-30v
CH-Bu_F.X.1_D_n052,In mynem sinn (In meinem Sinn),31r-31v
CH-Bu_F.X.1_D_n053,Ach hulff mich layd Ich arme metz (Ach hilf mich Leid),31v-32r
CH-Bu_F.X.1_D_n054,Offt wúnsch ich dir (Oft wünsche ich dir),32r-32v
CH-Bu_F.X.1_D_n055,Es wolt ein man versuchen sin wyb (Es wollte ein Mann versuchen sein Weib),33r
CH-Bu_F.X.1_D_n056,Kein frewd (Keine Freude habe ich auf Erd),33v
CH-Bu_F.X.1_D_n057,Was frewet mich (Was freuet mich das jetzund ich),34r
CH-Bu_F.X.1_D_n058,Ach hertzigs K (Ach herziges K),34v
CH-Bu_F.X.1_D_n059,Von erst so well wir loben (Von erst so wollen wir loben / Sixtus Dietrich),35r
CH-Bu_F.X.1_D_n060,Ellend pringt pin (Elend bringt Pein),35v
CH-Bu_F.X.1_D_n061,Ich seufftz vnd klag (Ich seufze und klage),36r
CH-Bu_F.X.1_D_n062,Nun griess dich got myn fine krot (Nun grüsse dich Gott meine feine Krot / Sixtus Dietrich),36v
CH-Bu_F.X.1_D_n063,Nun grieß dich got myn Drúselin (Nun grüße dich Gott mein Trusserlein / Sixtus Dietrich),37r
CH-Bu_F.X.1_D_n064,Ich stond an einem morgen (Ich stand an einem Morgen),37v-38r
CH-Bu_F.X.1_D_n065,Ergib mich der (Ergib mich der),38r
CH-Bu_F.X.1_D_n066,Ich stond an einem morgen (Ich stand an einem Morgen),38v
CH-Bu_F.X.1_D_n067,Recht zierlich lebt (Recht zierlich lebt),39r
CH-Bu_F.X.1_D_n068,Der welte fúnd (Der Welt Fund),39v
CH-Bu_F.X.1_D_n069,Eren werd vff erd (Ehrenwert auf Erd),40r
CH-Bu_F.X.1_D_n070,Was all myn tag erlitt myn hertz (Was alle meine Tage erlitt mein Herz),40r-40v
CH-Bu_F.X.1_D_n071,Nún merck ich wol (Nun merke ich wohl das ich nit soll),41r
CH-Bu_F.X.1_D_n072,Ach medlin ffein (Ach Maidlein rein ich habe allein),41v
CH-Bu_F.X.1_D_n073,Hoch wol gefallen (Hoch Wohlgefallen ist in mir das glaube du mir),42r
CH-Bu_F.X.1_D_n074,Hor zu von newen sachen (Höre zu von neuen Sachen),42v-43r
CH-Bu_F.X.1_D_n075,Ich weyss ein húpsche graserin (Ich weiß mir eine hübsche Graserin),43r
CH-Bu_F.X.1_D_n076,Mich wúndert ser (Mich wundert sehr je länger je mehr),43v-44r
CH-Bu_F.X.1_D_n077,Elsslin (Elslein),44r
CH-Bu_F.X.1_D_n078,Gross we ich lyd (Großes Weh ich leide),44v
CH-Bu_F.X.1_D_n079,On schertz myn hertz (Ohne Scherz mein Herz),45r
CH-Bu_F.X.1_D_n080,Nichts on vrsach (Nichts ohne Ursache),45v
CH-Bu_F.X.1_D_n081,Ach vnfal was zeichstú mich (Ach Unfall wessen zeihst du),46r
CH-Bu_F.X.1_D_n082,Wie wol vil hórter orden send (Wie wohl viel härtere Orden sind),56v
CH-Bu_F.X.1_D_n083,Zwen gesellen gút (Zwei Gesellen gut),47r
CH-Bu_F.X.1_D_n084,So gluck vnd stúnd (So Glück und Stunde),47v
CH-Bu_F.X.1_D_n085,Hab grossen danck (Habe großen Dank der Liebe dein),48r
CH-Bu_F.X.1_D_n086,Recht vrsach pringt (Rechte Ursache bringt),48v
CH-Bu_F.X.1_D_n087,Noch bin ich din (Noch bin ich dein),49r
CH-Bu_F.X.1_D_n088,Ach holdseligs medlin (Ach holdseliges Mädlein),49v
CH-Bu_F.X.1_D_n089,Parce domine (Parce domine populo tuo et ne des),50r
CH-Bu_F.X.1_D_n090,Patris sapientia veritas diuina (Patris sapientia veritas divina),50v
CH-Bu_F.X.1_D_n091,Patris sapientia veritas diuina (Patris sapientia veritas divina),51r
CH-Bu_F.X.1_D_n092,Domine fili (Domine fili),51v
CH-Bu_F.X.1_D_n093,Quinq (Quinque sequuntur),52r
CH-Bu_F.X.1_D_n094,Es taget vor dem walde stand vff keterlin (Es taget vor dem Walde),53r
CH-Bu_F.X.1_D_n095,Maria du pist genaden vol (Maria zart von edler art / Maria Du bist Gnaden voll),53v
CH-Bu_F.X.1_D_n096,Gottes namen faren wir (In Gottes Namen fahren wir),54r
CH-Bu_F.X.1_D_n097,Wann ich des morgens frie vff stond (Wenn ich des Morgens früh aufstehe),54v
CH-Bu_F.X.1_D_n098,Wolluf wir wóllens wecken (Wohlauf wir wollens wecken),55r
CH-Bu_F.X.1_D_n099,Ich armer man (Ich armer Mann),55v
CH-Bu_F.X.1_D_n100,Anfang minr lieb (Anfang meiner Liebe),56r
CH-Bu_F.X.1_D_n101,Vrsach zwingt mich (Ursache zwingt mich),56v
CH-Bu_F.X.1_D_n102,Vrsach zwingt mich (Ursache zwingt mich),57r
CH-Bu_F.X.1_D_n103,Du hertzigs myn fraw pin ich din (Frau bin ich dein du herziges mein),57v
CH-Bu_F.X.1_D_n104,Du hertzigs myn fraw pin ich din (Frau bin ich dein du herziges mein),58r
CH-Bu_F.X.1_D_n105,Crist ist erstanden (Christ ist erstanden),58v
CH-Bu_F.X.1_D_n106,Glúck Eer vnd gút (Glück Ehre und Gut),59r
CH-Bu_F.X.1_D_n107,Gedult vmb húld (Geduld um Huld),59v
CH-Bu_F.X.1_D_n108,Cela zons plus (Cela zons plus),59v-60r
CH-Bu_F.X.1_D_n109,Es taget vor dem walde (Es taget vor dem Walde),60v
CH-Bu_F.X.1_D_n110,Elslin liebstes elselin (Elslein),61r
CH-Bu_F.X.1_D_n111,Ich weis mir ein freye maget (Ich weiß mir eine freie Magd),61v
CH-Bu_F.X.1_D_n112,Ich weis mir ein freie maget (Ich weiß mir eine freie Magd),62r
CH-Bu_F.X.1_D_n113,Troplus secret (Trop plus secret que ma partie),62v
CH-Bu_F.X.1_D_n114,Tous les regres (Tous les regrets),63r
CH-Bu_F.X.1_D_n116,Tant que nostre argent (Tant que nôtre argent),64r
CH-Bu_F.X.1_D_n117,Mement (Mement),64v
CH-Bu_F.X.1_D_n118,Plus nultz regress (Plus mille regretz),64v-65r
CH-Bu_F.X.1_D_n119,Lome arme (L'homme armé),65v
CH-Bu_F.X.1_D_n120,Mons seul plasier (Mon seul plaisir),65v-66r
CH-Bu_F.X.1_D_n121,Adieu amours (Adieu amours),66v
CH-Bu_F.X.1_D_n122,Dentelore (Dentelore),67r
CH-Bu_F.X.1_D_n123,Fors seulement (Fors seulement),67v
CH-Bu_F.X.1_D_n124,Lordault (Lordault),68r
CH-Bu_F.X.2_A_n001,Ach frówlin zart (Ach Fräulein zart),1r-1v
CH-Bu_F.X.2_A_n002,Nit lang by nacht (Nicht lang bei Nacht),1v-2r
CH-Bu_F.X.2_A_n003,Min hertz hat (Mein Herz hat sich mit Liebe verpflichtet),2v-3r
CH-Bu_F.X.2_A_n004,Hertz liepstes (Herzliebstes Bild),3r-3v
CH-Bu_F.X.2_A_n005,Frúntlich vnd milt (Freundlich und mild),3v-4v
CH-Bu_F.X.2_A_n006,Zucht er vnd lob ir wonet (Zucht Ehre und Lob),4v-5r
CH-Bu_F.X.2_A_n007,Frúntlicher grúß mit búß (Freundlicher Gruß mit Buße),5v-6r
CH-Bu_F.X.2_A_n008,Ach gútter gsell (Ach guter Geselle),6r-6v
CH-Bu_F.X.2_A_n009,Cupido (Cupido hat ihm jetzt erdacht),6v-7r
CH-Bu_F.X.2_A_n010,Es wolt ein meitlin (Es wollte ein Maidlein nussen gehen),7r-7v
CH-Bu_F.X.2_A_n011,Ach hóchster hort (Ach höchster Hort),7v-8r
CH-Bu_F.X.2_A_n012,Min freúd allein (Meine Freude allein),8v-9r
CH-Bu_F.X.2_A_n013,Ein júnckfrow (Einer Jungfrau Bild),9r-9v
CH-Bu_F.X.2_A_n014,Mútterlin ich bin vff der púlschaft gewest (Mütterlein ich bin auf der Schule),10r-10v
CH-Bu_F.X.2_A_n015,Dich als mich (Dich als mich selbst),11r
CH-Bu_F.X.2_A_n016,Ich seúft vnd clag (Ich seufze und klage),11v-12r
CH-Bu_F.X.2_A_n017,Núr nerrisch sin (Nur närrisch sein ist meine Manier),12v-13r
CH-Bu_F.X.2_A_n018,Ich hoff es sy fast wol (Ich hoffe es sei fast wohl möglich),13r-14r
CH-Bu_F.X.2_A_n019,Ich stond an einem morgen (Ich stand an einem Morgen),15r
CH-Bu_F.X.2_A_n020,Ich stond an einem morgen (Ich stand an einem Morgen),15v
CH-Bu_F.X.2_A_n021,Ich stond an einem morgen (Ich stand an einem Morgen),16r
CH-Bu_F.X.2_A_n022,Ach elslin (Elslein),16v
CH-Bu_F.X.2_A_n023,Elslin liebstes elselin (Elslein),16v
CH-Bu_F.X.2_A_n024,Elslin liepstes elselin (Elslein),17r
CH-Bu_F.X.2_A_n025,Lust mag myn hertz (Lust mag mein Herz),17v
CH-Bu_F.X.2_A_n026,Vnfal wann ist dyns wesen genúg (Unfall wann ist deines Wesens genug),17v-18r
CH-Bu_F.X.2_A_n027,Erst ist betriegt das hertze myn (Erst ist betrübt [?] das Herze mein*),18v
CH-Bu_F.X.2_A_n028,Großmechtig (Großmächtig),19r
CH-Bu_F.X.2_A_n029,Ein gmeiner prúch (Ein gemeiner Brauch(?)*),19v
CH-Bu_F.X.2_A_n030,Ach werde frucht (Ach werte Frucht),20r
CH-Bu_F.X.2_A_n031,Meniger stelt nach gelt (Mancher stellt nach Geld),20v
CH-Bu_F.X.2_A_n032,Als ab vnd hin (Alles ab und hin),21r
CH-Bu_F.X.2_A_n033,Dich als mich selbs (Dich als mich selbst),21v
CH-Bu_F.X.2_A_n034,Aúff glúck ich wart (Auf Glück ich warte),22r
CH-Bu_F.X.2_A_n035,Ich hoff der zit (Ich hoffe der Zeit),22v
CH-Bu_F.X.2_A_n036,Elslin liepstes elselin (Elslein),23r
CH-Bu_F.X.2_A_n037,Hertzliches pild (Herzliches Bild),23r-23v
CH-Bu_F.X.2_A_n038,Zartliepste frúcht (Zart liebste Frucht),24r-24v
CH-Bu_F.X.2_A_n039,Endlin (**Ich hätte mir ein Endlein [Annelein?] für genommen),24v
CH-Bu_F.X.2_A_n040,Kein ding auf erd (Kein Ding auf Erden),25r
CH-Bu_F.X.2_A_n041,Wol kúmpt der May (Wohl kommt der Mai),25v
CH-Bu_F.X.2_A_n042,Vil sorg ich trag (Viel Sorge ich trage),26r
CH-Bu_F.X.2_A_n043,Het ich in aller welt die wal (Hätte ich in aller Welt die Wahl),26v
CH-Bu_F.X.2_A_n044,Schwerlangweilig ist mir myn zyt (Schwer langweilig ist mir meine Zeit),27r
CH-Bu_F.X.2_A_n045,Es taget vor dem walde (Es taget vor dem Walde),27v
CH-Bu_F.X.2_A_n046,Enzindt pin ich (Entzündet bin ich),28r
CH-Bu_F.X.2_A_n047,Crist ist erstanden (Christ ist erstanden),28v
CH-Bu_F.X.2_A_n048,Myn glúck gett vf der syten yß (Mein Glück geht auf die Seite aus),29r
CH-Bu_F.X.2_A_n049,Elslin liepstes elselin wie geren wer ich by dir (Elslein),29v
CH-Bu_F.X.2_A_n050,O werder mund (O werter Mund),29v-30r
CH-Bu_F.X.2_A_n051,In mynem sinn (In meinem Sinn),30v-31r
CH-Bu_F.X.2_A_n052,In mynem sinn (In meinem Sinn),31r-31v
CH-Bu_F.X.2_A_n053,Ach hulff mich leid (Ach hilf mich Leid),32r-32v
CH-Bu_F.X.2_A_n054,Oft wúnsch ich dir (Oft wünsche ich dir),32v-33r
CH-Bu_F.X.2_A_n055,Es wolt ein man versuchen sin wyb (Es wollte ein Mann versuchen sein Weib),33v
CH-Bu_F.X.2_A_n056,Kein frewd (Keine Freude habe ich auf Erd),34r
CH-Bu_F.X.2_A_n057,Was frewet mich (Was freuet mich das jetzund ich),34v
CH-Bu_F.X.2_A_n058,Ach hertzigs K (Ach herziges K),35r
CH-Bu_F.X.2_A_n059,Von erst so well wir loben (Von erst so wollen wir loben / Sixtus Dietrich),35v
CH-Bu_F.X.2_A_n060,Ellend pringt pin (Elend bringt Pein),36r
CH-Bu_F.X.2_A_n061,Ich seufftz vnd klag (Ich seufze und klage),36v
CH-Bu_F.X.2_A_n062,Nun griess dich got myn fine krot (Nun grüsse dich Gott meine feine Krot / Sixtus Dietrich),37r
CH-Bu_F.X.2_A_n063,Nun grieß dich got myn Drúselin (Nun grüße dich Gott mein Trusserlein),37v
CH-Bu_F.X.2_A_n064,Ich stond an einem morgen (Ich stand an einem Morgen),38r-38v
CH-Bu_F.X.2_A_n065,Ergib mich der (Ergib mich der),39r
CH-Bu_F.X.2_A_n066,Ich stond an einem morgen (Ich stand an einem Morgen),39v
CH-Bu_F.X.2_A_n067,Recht zierlich lebt (Recht zierlich lebt),40r
CH-Bu_F.X.2_A_n068,Der welte fúnd (Der Welt Fund),40v
CH-Bu_F.X.2_A_n069,Eren werd vff erd (Ehrenwert auf Erd),41r
CH-Bu_F.X.2_A_n070,Was all myn tag erlitt myn hertz (Was alle meine Tage erlitt mein Herz),41v
CH-Bu_F.X.2_A_n071,Nun merck ich wol (Nun merke ich wohl das ich nit soll),42r
CH-Bu_F.X.2_A_n072,Ach medlin Rein (Ach Maidlein rein ich habe allein),42v
CH-Bu_F.X.2_A_n073,Hoch wol gefallen (Hoch Wohlgefallen ist in mir das glaube du mir),43r
CH-Bu_F.X.2_A_n074,Hór zú von nuwen sachen (Höre zu von neuen Sachen),43v-44r
CH-Bu_F.X.2_A_n075,Ich weyss mir ein húpsche graserin (Ich weiß mir eine hübsche Graserin),44r
CH-Bu_F.X.2_A_n076,Mich wúndert ser (Mich wundert sehr je länger je mehr),44v-45r
CH-Bu_F.X.2_A_n077,Elsslin (Elslein),45r
CH-Bu_F.X.2_A_n078,Gross we ich lyd (Großes Weh ich leide),45v
CH-Bu_F.X.2_A_n079,On schertz (Ohne Scherz mein Herz),46r
CH-Bu_F.X.2_A_n080,Nichts on vrsach (Nichts ohne Ursache),46v
CH-Bu_F.X.2_A_n081,Ach vnfal was zeychstu mich (Ach Unfall wessen zeihst du),47r
CH-Bu_F.X.2_A_n082,Wie wol vil horter orden send (Wie wohl viel härtere Orden sind),47v
CH-Bu_F.X.2_A_n083,Zwen gsellen gút (Zwei Gesellen gut),48r
CH-Bu_F.X.2_A_n084,So gluck vnd stúnd (So Glück und Stunde),48v
CH-Bu_F.X.2_A_n085,Hab grossen danck (Habe großen Dank der Liebe dein),49r
CH-Bu_F.X.2_A_n086,Recht vrsach pringt (Rechte Ursache bringt),49v
CH-Bu_F.X.2_A_n087,Noch bin ich dein (Noch bin ich dein),50r
CH-Bu_F.X.2_A_n088,Ach holdseligs medlin (Ach holdseliges Mädlein),50v
CH-Bu_F.X.2_A_n089,Parce domine (Parce domine populo tuo et ne des),51r
CH-Bu_F.X.2_A_n090,Patris sapientia veritas diuina (Patris sapientia veritas divina),51v
CH-Bu_F.X.2_A_n091,Patris sapientia veritas diuina (Patris sapientia veritas divina),52r
CH-Bu_F.X.2_A_n092,Domine fili (Domine fili),52v
CH-Bu_F.X.2_A_n093,Quinq (Quinque sequuntur),53r
CH-Bu_F.X.2_A_n094,Es taget vor dem walde stand vff keterlin (Es taget vor dem Walde),54r
CH-Bu_F.X.2_A_n095,Maria du pist genaden vol (Maria zart von edler art / Maria Du bist Gnaden voll),54v
CH-Bu_F.X.2_A_n096,Gottes namen faren wir (In Gottes Namen fahren wir),55r
CH-Bu_F.X.2_A_n097,Wann ich des morgens frue vff stand (Wenn ich des Morgens früh aufstehe),55v
CH-Bu_F.X.2_A_n098,Wolúf wir wóllens wecken (Wohlauf wir wollens wecken),56r
CH-Bu_F.X.2_A_n099,Ich armer man (Ich armer Mann),56v
CH-Bu_F.X.2_A_n100,Anfang minr lieb (Anfang meiner Liebe),57r
CH-Bu_F.X.2_A_n101,Vrsach zwingt mich (Ursache zwingt mich),57v
CH-Bu_F.X.2_A_n102,Fraw pin ich din du hertzigs myn (Frau bin ich dein du herziges mein),58r
CH-Bu_F.X.2_A_n103,Christus surrexit (Christ ist erstanden / Christus surrexit),58v
CH-Bu_F.X.2_A_n104,Glúck Eer vnd gút (Glück Ehre und Gut),59r
CH-Bu_F.X.2_A_n105,Geduld vmb huld (Geduld um Huld),59v
CH-Bu_F.X.2_A_n106,Cela zons plus (Cela zons plus),60r
CH-Bu_F.X.2_A_n107,Es taget vor dem walde (Es taget vor dem Walde),60v
CH-Bu_F.X.2_A_n108,Ich weis mir ein freye maget (Ich weiß mir eine freie Magd),61r
CH-Bu_F.X.2_A_n109,Troplus secret (Trop plus secret que ma partie),61v
CH-Bu_F.X.2_A_n110,Touss les regres (Tous les regrets),62r
CH-Bu_F.X.2_A_n111,Pour quoi non (Pourquoi non),62v
CH-Bu_F.X.2_A_n112,Tant que nostre argent (Tant que nôtre argent),63r
CH-Bu_F.X.2_A_n113,Mement (Mement),63v
CH-Bu_F.X.2_A_n114,Plus miltz regretz (Plus mille regretz),63v-64r
CH-Bu_F.X.2_A_n115,Lome arme (L'homme armé),64v
CH-Bu_F.X.2_A_n116,Mons seul plasier (Mon seul plaisir),64v-65r
CH-Bu_F.X.2_A_n117,Altus ex canon fugat ad semibreuem (Altus ex),65v
CH-Bu_F.X.2_A_n118,Dentelore (Dentelore),65v-66r
CH-Bu_F.X.2_A_n119,Fors seulement (Fors seulement),66v
CH-Bu_F.X.2_A_n120,Lordault (Lordault),67r
CH-Bu_F.X.3_T_n000,"[register, incomplete] ([register])",
CH-Bu_F.X.3_T_n001,Ach frówlin zart (Ach Fräulein zart / Sixtus Dietrich),1v-2v
CH-Bu_F.X.3_T_n002,Nit lang by nacht (Nicht lang bei Nacht),2v-3v
CH-Bu_F.X.3_T_n003,Min hertz hat sich (Mein Herz hat sich mit Liebe verpflichtet),4r-5r
CH-Bu_F.X.3_T_n004,Hertz liebstes pild (Herzliebstes Bild),5v-6v
CH-Bu_F.X.3_T_n005,Frúntlich vnd milt (Freundlich und mild),7r-8v
CH-Bu_F.X.3_T_n006,Zucht er vnd lob ir wonet bey (Zucht Ehre und Lob),8v-13r
CH-Bu_F.X.3_T_n007,Frúntlicher grús (Freundlicher Gruß mit Buße),13v-14v
CH-Bu_F.X.3_T_n008,Ach gútter gsell (Ach guter Geselle),15v-16v
CH-Bu_F.X.3_T_n009,Cupido hat im yetz erdacht (Cupido hat ihm jetzt erdacht),17r-18v
CH-Bu_F.X.3_T_n010,Es wólt ein meitlin nússen gan (Es wollte ein Maidlein nussen gehen),19r-21r
CH-Bu_F.X.3_T_n011,Ach hóchster (Ach höchster Hort),21v
CH-Bu_F.X.3_T_n012,Min freúd allein (Meine Freude allein),23r
CH-Bu_F.X.3_T_n013,Mútterlin ich bin vff der schúl gelege (Mütterlein ich bin auf der Schule),24v-25r
CH-Bu_F.X.3_T_n014,Ain junckfraw bild (Einer Jungfrau Bild),26r
CH-Bu_F.X.3_T_n015,Dich als mich selbs (Dich als mich selbst),27v
CH-Bu_F.X.3_T_n016,Ich seuft vnd clag all min tag (Ich seufze und klage),29r-v
CH-Bu_F.X.3_T_n017,Núr nerrisch sin ist min manier (Nur närrisch sein ist meine Manier),31r
CH-Bu_F.X.3_T_n018,Ich hoff es sy fast (Ich hoffe es sei fast wohl möglich),33r-v
CH-Bu_F.X.3_T_n019,Ich stond an einem morgen (Ich stand an einem Morgen),34v-35r
CH-Bu_F.X.3_T_n020,Ich stond an einem morgen (Ich stand an einem Morgen),35r
CH-Bu_F.X.3_T_n021,Ich stond an einem morgen (Ich stand an einem Morgen),35v-36r
CH-Bu_F.X.3_T_n022,Ach elslin ach elslin wilt mit mir In die eret (Ach Elslein ach Elslein willst Du mit mir),36r
CH-Bu_F.X.3_T_n023,Elslin liebes Elslin (Elslein),36v
CH-Bu_F.X.3_T_n024,Es taget vor dem walde (Es taget vor dem Walde),37r
CH-Bu_F.X.3_T_n025,Lúst mag myn hertz (Lust mag mein Herz),37v-38r
CH-Bu_F.X.3_T_n026,Vnfal wann ist dinß wesens genúg (Unfall wann ist deines Wesens genug),38v
CH-Bu_F.X.3_T_n027,Erst ist betriegt das hertze myn (Erst ist betrübt [?] das Herze mein*),39r
CH-Bu_F.X.3_T_n028,Großmechtig (Großmächtig),39v
CH-Bu_F.X.3_T_n029,Ein gmeiner bruch (Ein gemeiner Brauch(?)*),40r
CH-Bu_F.X.3_T_n030,Ach werde frucht (Ach werte Frucht),40v-41r
CH-Bu_F.X.3_T_n031,Meniger stelt nach gelt (Mancher stellt nach Geld),41v
CH-Bu_F.X.3_T_n032,Als ab vnd hin (Alles ab und hin),42r
CH-Bu_F.X.3_T_n033,DIch als mich selbst (Dich als mich selbst),42v-43r
CH-Bu_F.X.3_T_n034,Auff glúck ich wart (Auf Glück ich warte),43v-44r
CH-Bu_F.X.3_T_n035,Ich hoff der zitt (Ich hoffe der Zeit),44v-45r
CH-Bu_F.X.3_T_n036,Elslin liebstes elselin (Elslein),45r
CH-Bu_F.X.3_T_n037,Hertzliches pild (Herzliches Bild),45v
CH-Bu_F.X.3_T_n038,Endlin (**Ich hätte mir ein Endlein [Annelein?] für genommen),46r
CH-Bu_F.X.3_T_n039,Zart liepste frucht (Zart liebste Frucht),46r-v
CH-Bu_F.X.3_T_n040,Kein ding auf erd (Kein Ding auf Erden),47r
CH-Bu_F.X.3_T_n041,Wie kompt der May (Wohl kommt der Mai),47v
CH-Bu_F.X.3_T_n042,Vil sorg ich trag (Viel Sorge ich trage),48r
CH-Bu_F.X.3_T_n043,Het ich in aller welt die wal (Hätte ich in aller Welt die Wahl),48v-49r
CH-Bu_F.X.3_T_n044,Schwerlangweilig ist mir myn zyt (Schwer langweilig ist mir meine Zeit),49v
CH-Bu_F.X.3_T_n045,Wan ander lyt lúgen vnd schlaffen (Wenn andere Leute liegen und schlafen),50r
CH-Bu_F.X.3_T_n046,Enzindt pin ich (Entzündet bin ich),50v
CH-Bu_F.X.3_T_n047,Crist ist erstanden (Christ ist erstanden),51r
CH-Bu_F.X.3_T_n048,Min gluck get vff der siten auss (Mein Glück geht auf die Seite aus),51v
CH-Bu_F.X.3_T_n049,Elslin liebstes elselin (Elslein),52v
CH-Bu_F.X.3_T_n050,O werder mund (O werter Mund),52v-53r
CH-Bu_F.X.3_T_n051,In mynem sinn (In meinem Sinn),53v
CH-Bu_F.X.3_T_n052,In mynem sinn (In meinem Sinn),54r-v
CH-Bu_F.X.3_T_n053,Ach húlff leyd (Ach hilf mich Leid),54v-55v
CH-Bu_F.X.3_T_n054,Offt wúnsch ich dir (Oft wünsche ich dir),55v
CH-Bu_F.X.3_T_n055,Es wolt ein man versuchen sin wyb (Es wollte ein Mann versuchen sein Weib),56r
CH-Bu_F.X.3_T_n056,Kein frewd hab ich vff erd (Keine Freude habe ich auf Erd),56v-57r
CH-Bu_F.X.3_T_n057,Was frewed mich das yetzund ich (Was freuet mich das jetzund ich),57v58r
CH-Bu_F.X.3_T_n058,Ach hertzigs K (Ach herziges K),59r
CH-Bu_F.X.3_T_n059,Von erst so well wir loben (Von erst so wollen wir loben / Sixtus Dietrich),59r
CH-Bu_F.X.3_T_n060,Ellend pringt pein (Elend bringt Pein),59r
CH-Bu_F.X.3_T_n061,Ich seufftz vnd klag (Ich seufze und klage),60r
CH-Bu_F.X.3_T_n062,Nun griess dich got myn fine krot (Nun grüsse dich Gott meine feine Krot / Sixtus Dietrich),60v-61r
CH-Bu_F.X.3_T_n063,Nun griess dich got myn Truselin (Nun grüße dich Gott mein Trusserlein / Sixtus Dietrich),61v-62r
CH-Bu_F.X.3_T_n064,Ich stond an einem morgen (Ich stand an einem Morgen),62v
CH-Bu_F.X.3_T_n065,Ergib mich der (Ergib mich der),63r
CH-Bu_F.X.3_T_n066,"Ich stond an einem morgen (Ich stand an einem Morgen / Kmetz, Katalog: = Jo. Füchswild)",63v
CH-Bu_F.X.3_T_n067,Recht zierlich lebt (Recht zierlich lebt),64r
CH-Bu_F.X.3_T_n068,Der welte fúnd (Der Welt Fund),64v
CH-Bu_F.X.3_T_n069,Eren wert vff erd (Ehrenwert auf Erd),64v-65r
CH-Bu_F.X.3_T_n070,Was all myn tag erlitt myn hertz (Was alle meine Tage erlitt mein Herz),65r-66r
CH-Bu_F.X.3_T_n071,Nún merck ich wol das ich nit sol (Nun merke ich wohl das ich nit soll),66v-67r
CH-Bu_F.X.3_T_n072,Ach medlin rein ich hab allein eygen mich dir ergeben (Ach Maidlein rein ich habe allein),67v-68r
CH-Bu_F.X.3_T_n073,Hoch wol gefallen ist in mir das glaub du mir (Hoch Wohlgefallen ist in mir das glaube du mir),68v-69r
CH-Bu_F.X.3_T_n074,Hór zú von nuwen sachen (Höre zu von neuen Sachen),69v
CH-Bu_F.X.3_T_n075,Ich weis mir ein húbsche graserin (Ich weiß mir eine hübsche Graserin),70r
